ID;Tipo;Título;Asignado a;Padre;Estado;Área;Tags;Iteración;Última modificación;Fec Creado;Fec Activado;Fec Resuelto;Fec Cerrado;Puntos Historia;Estimación;Resolved reason;Prioridad;Severidad
38450;Task;Predial/ICA: Aplicación de reglas de negocio para Acuerdos de Pago;andres.castano;43396;Closed;SILIN\Squad - Migracion;Milagro 1 (Otros tributos Palmira);SILIN\SPR-2025-3.3;27/08/2025 13:26:48;17/03/2025 16:55:56;10/04/2025 19:26:32;;27/08/2025 13:26:48;;4.0;;1;
39515;User Story;💡Revisiones de procedimientos que tienen dependencia con los cambios que hizo Charly para Milagro 1;Juan Pablo Alvarez;43349;Closed;SILIN\Squad - Migracion;"Milagro 1 (Otros tributos Palmira); spike";SILIN;07/10/2025 16:29:39;09/04/2025 16:21:04;09/04/2025 16:21:18;;07/10/2025 16:29:39;;;;1;
40017;Task;Disponibilizar por 2da vez en Mongo;andres.castano;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:32:53;24/04/2025 16:48:00;29/07/2025 20:26:11;;27/08/2025 13:32:53;;5.0;;2;
40168;Task;Agregar al reporte un contador de expedientes por estado;Camilo Rojas Lopera;42290;New;SILIN\Squad - Migracion;;SILIN;21/07/2025 11:09:23;30/04/2025 13:30:18;;;;;8.0;;2;
40436;Task;Estadística para identificar expedientes en determinación o discusión;Camilo Rojas Lopera;42290;New;SILIN\Squad - Migracion;;SILIN;21/07/2025 11:09:11;09/05/2025 15:12:21;;;;;8.0;;2;
40510;User Story;[ETFL] Desarrollo ETL Deuda Violencia Intrafamiliar;jose.herrera;47077;Paused;SILIN\Squad - Migracion;violencia;SILIN\SPR-2025-3.6;24/11/2025 17:15:15;12/05/2025 15:18:02;25/09/2025 12:42:05;;;;;;1;
40511;User Story;Desarrollo ETL Deuda Incumplimiento;;40508;Refinement;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;12/05/2025 15:18:16;;;;;;;1;
40512;User Story;Desarrollo ETL Deudas Cuotas Partes Pensionales;;47077;New;SILIN\Squad - Migracion;;SILIN;05/03/2026 21:32:53;12/05/2025 15:18:45;;;;;;;1;
40527;Task;ICA: Disponibilizar Deuda/Cartera/Contribuyentes/Sujetos de impuesto 2da Iteración;andres.castano;43388;Closed;SILIN\Squad - Migracion;"Felipe Castaño; Milagro 1 (Otros tributos Palmira); Pair Programming";SILIN\SPR-2025-3.3;27/08/2025 13:33:06;12/05/2025 16:40:49;29/07/2025 20:26:26;;27/08/2025 13:33:06;5.0;4.0;;1;
40563;Task;Agregar métricas de expedientes;Camilo Rojas Lopera;42290;Active;SILIN\Squad - Migracion;;SILIN;21/07/2025 11:09:16;13/05/2025 12:45:44;13/05/2025 12:46:41;;;;8.0;;2;
41472;Task;Predial: Disponibilizar en 2da fase los casos en los que el contribuyente de deuda no corresponde a los contribuyentes de expedientes;Camilo Rojas Lopera;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:29:20;29/05/2025 21:06:58;25/06/2025 14:16:57;;27/08/2025 13:29:20;;4.0;;2;
41953;Task;🆕 Reporte de deudas en Predial que no tienen un expediente asociado (Tributaria);Camilo Rojas Lopera;43387;Closed;SILIN\Squad - Migracion;"Felipe Castaño; Tributaria";SILIN\SPR-2025-3.3;27/08/2025 13:29:51;09/06/2025 22:00:53;09/06/2025 22:08:30;;27/08/2025 13:29:51;;4.0;;2;3 - Medium
41994;Task;🆕 Reporte de deudas que no se migraron (QA);Camilo Rojas Lopera;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:30:19;10/06/2025 13:58:20;10/06/2025 14:12:46;;27/08/2025 13:30:19;;4.0;;2;
42166;Task;ICA: Revisar los expedientes que no pasaron en la primera disponibilización que pertenecen al proceso 79;andres.castano;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:34:06;17/06/2025 18:51:21;29/07/2025 20:26:35;;27/08/2025 13:34:06;;4.0;;2;
42167;Bug;Investigar junto a Gustavo los títulos ejecutivos faltantes (27 fallos);Camilo Rojas Lopera;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:28:57;17/06/2025 19:21:57;27/08/2025 13:28:57;27/08/2025 13:28:57;27/08/2025 13:28:57;;8.0;Fixed and verified;2;3 - Medium
42282;Task;Almacenar y mostrar número predial corto en reportes;Camilo Rojas Lopera;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:29:37;19/06/2025 16:23:22;10/08/2025 19:40:02;;27/08/2025 13:29:37;;8.0;;2;
42290;User Story;Configurar reglas de calidad de datos en GE para Expedientes;;;New;SILIN\Squad - Migracion;;SILIN;10/08/2025 19:49:53;19/06/2025 20:25:02;;;;;;;1;
42291;User Story;Configurar reglas de calidad de datos en GE para títulos ejecutivos;;;New;SILIN\Squad - Migracion;;SILIN;10/08/2025 19:50:18;19/06/2025 20:25:40;;;;;;;1;
42292;User Story;"[ETFL] - Aplicación de Calidad de Datos con GE - Tributo: ""Violencia Intrafamiliar""";Camilo Rojas Lopera;47077;Paused;SILIN\Squad - Migracion;"Great Expectations; Sebastian Granda; violencia";SILIN\SPR-2025-3.6;24/11/2025 17:15:15;19/06/2025 20:25:53;08/09/2025 13:45:49;;;;;;1;
42293;User Story;"Disponibilización de datos de ""incumplimiento contractual""";;;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:43:10;19/06/2025 20:28:02;;;;;;;1;
42294;User Story;"[ETFL] Disponibilización de datos de ""violencia intrafamiliar"" - Mongo DB";Camilo Rojas Lopera;47077;Paused;SILIN\Squad - Migracion;"Camilo Rojas; Felipe Castaño; violencia";SILIN\SPR-2025-3.6;24/11/2025 17:15:15;19/06/2025 20:28:23;02/09/2025 17:12:39;;;;;;1;
42295;User Story;"Disponibilización de datos de ""cuotas partes pensionales""";;47077;New;SILIN\Squad - Migracion;;SILIN;11/08/2025 13:30:25;19/06/2025 20:29:16;;;;;;;1;
42296;User Story;"Disponibilización de datos de ""incapacidades""";;;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:42:58;19/06/2025 20:29:38;;;;;;;1;
42297;User Story;"Disponibilización de datos de ""reteica""";;;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:42:38;19/06/2025 20:29:46;;;;;;;1;
